year,profit
2029,54000000
2030,54004000
2031,54008000
2032,54018000
2033,54028000
2034,54036000
2035,54046000
2036,54146000
2037,54246000
2038,54345000
2039,54600000
2040,54700000
2041,55050000
2042,55840000
2043,56800000
2044,57400000
2045,58200000
2046,59100000
2047,60422000
2048,61421000
2049,62420000
2050,63419000
2051,64800000
2052,65410000
2053,66420000
2054,67420000
2055,68020000
2056,68500000
2057,69020000
2058,69220000
2059,69120000
2060,68720000
2061,67320000
2062,66020000
2063,65020000
2064,63420000
2065,61420000
2066,59320000
2067,58020000
2068,57620000
2069,57420000
